runner_id,age,gender,running_experience_months,previous_marathon_count,training_program,motivation_level,personal_best_minutes,weekly_mileage_miles,runs_per_week,long_run_distance_km,speed_work_sessions_per_week,rest_days_per_week,training_adherence_pct,consecutive_weeks_no_miss,cross_training_hours_per_week,resting_heart_rate_bpm,vo2_max,bmi,recovery_score,sleep_hours_avg,injury_count,injury_severity,nutrition_score,hydration_consistency,training_streak_days,missed_workout_pct,early_morning_run_frequency,weather_condition_training_pct,goal_completion_rate,run_club_attendance_rate,warmup_adherence_pct,stretching_adherence_pct,marathon_date,marathon_weather,course_difficulty,target_finish_time_minutes,actual_finish_time_minutes,mental_preparation_score,medal_outcome,dnf,is_first_marathon,vo2_max_was_missing,cross_training_hours_per_week_was_missing,nutrition_score_was_missing,hydration_consistency_was_missing,sleep_hours_avg_was_missing,implausible_volume,medal,goal_gap
R091168,48,Female,9,5,Beginner,5,311.0,12.4,4,15.0,1,3,82,15,0.0,80,44.56579506927466,25.5,7.2,7.4,0,None,7.0,7.0,64,18,42,48,72,53,86,11,2024-06-23,Rainy,Mixed,283,325.0,5,0,0,0,0,0,0,0,0,0,0,42.0
R032467,36,Female,9,2,Beginner,7,256.0,12.4,5,15.0,1,2,81,14,2.2,80,55.16774985587432,20.9,7.5,7.8,1,Minor,3.0,2.0,86,19,31,45,52,62,41,61,2025-12-01,Cloudy,Mixed,290,331.0,3,0,0,0,0,0,0,0,0,0,0,41.0
R032204,44,Male,22,1,Beginner,2,292.0,16.9,5,15.0,1,2,56,5,0.0,79,63.15980224203052,25.2,5.9,7.4,0,None,6.0,5.0,62,44,0,5,27,62,65,64,2025-05-23,Rainy,Hilly,271,317.0,1,0,0,0,0,0,0,0,0,0,0,46.0
R044412,35,Female,6,3,Beginner,9,267.0,12.4,5,15.0,1,2,96,13,0.1,76,56.48318462319445,18.0,7.9,6.5,2,Moderate,2.0,9.0,99,4,40,18,74,70,100,53,2024-06-03,Cold,Mixed,268,322.0,3,0,0,0,0,1,0,0,0,0,0,54.0
R052468,58,Female,16,0,Beginner,5,,12.4,3,15.0,0,3,87,14,0.0,80,48.36749670255108,18.9,4.6,5.7,2,Severe,6.0,7.0,62,8,0,49,90,85,38,69,2025-08-29,Sunny,Mixed,283,335.0,8,0,0,1,0,0,1,0,0,0,0,52.0
R028149,30,Female,69,2,Advanced,10,220.0,29.6,6,23.2,1,1,89,11,0.0,65,75.0,21.4,6.7,6.4,0,None,5.0,4.0,74,11,59,26,75,47,59,70,2024-07-07,Windy,Hilly,215,245.0,5,1,0,0,0,0,0,0,0,0,1,30.0
R059555,41,Male,117,3,Advanced,8,222.0,12.4,4,15.0,1,3,92,11,1.5,79,55.52116643838415,24.9,7.6,5.1,0,None,2.0,8.0,58,8,67,53,67,78,73,72,2024-09-04,Sunny,Hilly,214,247.0,4,1,0,0,0,0,0,0,0,0,1,33.0
R080676,44,Female,38,2,Intermediate,3,253.0,12.4,5,15.0,1,2,78,13,0.0,80,38.12269920634834,24.9,7.9,6.8,0,None,6.0,6.0,88,22,29,0,74,43,54,53,2025-05-12,Sunny,Flat,246,276.0,9,1,0,0,0,0,1,0,0,0,1,30.0
R046147,62,Male,23,2,Beginner,6,273.0,14.1,4,15.0,1,3,79,11,0.0,69,53.55743104202453,20.4,4.4,7.5,1,Minor,9.0,3.0,101,21,60,0,34,22,60,63,2024-11-23,Cold,Flat,278,317.0,9,0,0,0,1,0,0,0,0,0,0,39.0
R033236,53,Female,14,2,Beginner,9,315.0,12.4,3,15.0,1,3,98,16,0.0,80,49.22116020443482,27.1,4.8,7.5,1,Moderate,7.0,4.0,89,2,53,34,88,40,100,41,2024-11-23,Cloudy,Flat,294,338.0,7,0,0,0,0,0,0,0,0,0,0,44.0
R068319,40,Female,6,1,Beginner,6,298.0,12.4,4,15.0,1,3,81,13,0.0,75,56.307785757252006,18.0,5.7,7.5,0,None,8.0,6.0,87,19,39,12,76,26,48,49,2024-12-14,Hot,Flat,291,330.0,4,0,0,0,0,0,0,1,0,0,0,39.0
R038901,35,Male,6,5,Beginner,7,280.0,28.1,3,19.1,0,3,93,13,0.0,79,53.17810761005941,22.7,9.9,7.0,2,Moderate,3.0,8.0,65,7,30,64,93,70,98,100,2024-09-13,Sunny,Flat,277,316.0,6,0,0,0,0,0,0,0,1,0,0,39.0
R020947,43,Male,97,0,Advanced,9,,43.4,5,26.1,1,2,91,16,10.0,80,48.100961408511154,23.9,7.1,7.3,0,None,5.0,7.0,71,9,45,40,80,100,88,48,2024-05-16,Windy,Flat,209,234.0,6,2,0,1,0,0,0,0,0,0,1,25.0
R001711,30,Female,6,1,Beginner,2,262.0,12.4,4,15.2,1,3,83,11,0.1,80,49.03536042746303,25.7,7.0,6.3,1,Minor,10.0,7.0,66,17,0,42,59,52,44,39,2025-03-13,Cloudy,Hilly,273,316.0,7,0,0,0,0,1,0,0,0,0,0,43.0
R042195,18,Male,6,0,Beginner,6,,18.1,4,15.0,1,3,76,10,0.7,80,42.029719636030826,22.5,7.9,6.0,1,Moderate,6.0,5.0,112,24,46,59,53,29,56,47,2024-12-15,Cold,Hilly,266,326.0,7,0,0,1,0,0,1,0,0,0,0,60.0
R061136,23,Female,24,2,Beginner,2,234.0,12.4,4,15.0,1,3,70,8,0.0,71,55.23169381108846,22.0,9.5,5.7,0,None,3.0,7.0,35,30,0,19,50,0,61,8,2025-08-28,Sunny,Hilly,247,285.0,6,0,0,0,0,0,0,0,0,0,0,38.0
R021420,47,Male,21,2,Beginner,6,284.0,21.1,4,17.8,1,3,60,9,2.8,75,49.60152356883948,29.6,5.2,6.4,0,None,8.0,6.0,58,40,26,18,60,40,47,0,2025-07-11,Hot,Mixed,265,310.0,7,0,0,0,0,0,0,0,0,0,0,45.0
R082903,49,Male,127,1,Advanced,5,176.0,12.4,5,15.0,1,2,87,10,0.0,76,47.55980398869466,24.7,4.1,5.1,1,Moderate,4.0,6.0,93,13,9,10,62,50,49,65,2025-07-28,Hot,Mixed,192,248.0,5,0,0,0,0,0,0,0,0,0,0,56.0
R018768,62,Female,45,4,Intermediate,9,268.0,24.5,5,15.0,2,2,96,16,10.0,80,44.66436963059016,23.3,6.1,5.0,0,None,6.0,7.0,87,4,29,52,63,87,81,100,2025-09-25,Hot,Flat,259,293.0,6,0,0,0,0,0,0,0,0,0,0,34.0
R089981,35,Female,6,1,Beginner,10,305.0,12.4,4,15.0,1,3,81,12,0.0,70,57.01056266086464,21.0,7.1,7.0,0,None,8.0,7.0,78,19,75,46,67,86,56,58,2025-09-21,Cloudy,Flat,278,303.0,6,2,0,0,0,0,0,0,1,0,1,25.0
R092177,34,Male,64,1,Advanced,9,229.0,31.3,5,15.0,1,2,90,13,0.0,79,53.55743104202453,28.1,7.8,6.6,0,None,5.0,5.0,61,10,88,75,68,72,61,48,2025-08-01,Cloudy,Flat,211,230.0,5,3,0,0,1,0,0,0,0,0,1,19.0
R008301,55,Female,56,0,Intermediate,9,,12.4,4,15.0,1,3,96,14,1.0,80,50.61221319276539,22.3,4.2,8.0,0,None,6.0,8.0,83,4,37,49,62,13,97,34,2024-07-17,Cloudy,Hilly,242,278.0,4,0,0,1,0,0,0,0,0,0,0,36.0
R028452,20,Female,6,1,Beginner,3,312.0,12.4,4,15.0,1,3,82,12,5.2,72,60.83691548921029,18.0,9.3,7.8,0,None,6.0,6.0,46,18,3,19,56,28,94,70,2025-07-05,Cold,Hilly,302,343.0,10,0,0,0,0,0,0,0,0,0,0,41.0
R024425,62,Male,7,2,Beginner,5,310.0,12.4,5,15.0,0,2,83,8,0.0,80,46.42656527430396,23.3,7.7,6.3,0,None,7.0,2.0,106,17,4,1,89,18,50,13,2025-10-30,Cold,Mixed,291,333.0,6,0,0,0,0,0,0,0,0,0,0,42.0
R014624,48,Female,33,0,Intermediate,3,,15.5,4,15.0,3,3,87,16,0.0,64,65.94210891346323,20.7,6.4,6.9,0,None,6.0,6.0,77,13,30,54,81,0,53,65,2024-09-17,Windy,Hilly,226,266.0,2,0,0,1,0,0,0,0,0,0,0,40.0
R074482,50,Male,7,2,Beginner,5,243.0,12.4,4,15.0,0,3,67,10,0.0,80,53.55743104202453,26.0,6.8,5.0,0,None,6.0,10.0,80,33,50,6,53,54,43,60,2025-06-01,Sunny,Hilly,221,263.0,7,0,0,0,1,0,0,0,0,0,0,42.0
R021582,43,Male,33,2,Intermediate,2,226.0,12.4,4,15.0,1,3,98,9,0.0,72,53.55743104202453,24.4,5.4,7.3,2,Severe,7.0,6.0,107,6,30,0,85,30,21,67,2024-07-08,Windy,Mixed,212,265.0,7,0,0,0,1,0,0,0,0,0,0,53.0
R034597,35,Male,81,2,Advanced,10,240.0,22.8,6,15.0,0,1,97,16,10.0,68,71.70770713707451,22.2,9.5,7.0,3,Severe,6.0,6.0,78,10,70,33,84,52,54,47,2024-07-20,Cloudy,Flat,215,266.0,5,0,0,0,0,0,0,0,1,0,0,51.0
R072886,47,Female,18,2,Beginner,10,270.0,12.4,4,15.0,0,3,86,14,0.0,77,53.71511771353074,22.4,3.4,5.0,0,None,4.0,5.0,67,14,48,59,78,96,63,11,2025-10-02,Cold,Mixed,278,318.0,4,0,0,0,0,0,0,0,0,0,0,40.0
R086964,37,Male,16,1,Beginner,2,318.0,12.4,4,15.0,1,3,97,16,0.0,80,45.22457550034475,23.9,5.5,7.1,3,Severe,10.0,6.0,85,7,12,0,71,0,70,100,2025-03-25,Windy,Mixed,297,351.0,8,0,0,0,0,0,0,0,0,0,0,54.0
R038665,41,Male,15,1,Beginner,3,288.0,18.3,5,15.0,1,2,69,8,0.4,79,49.591948866628485,21.5,8.4,6.9,0,None,5.0,7.0,47,31,14,12,46,0,61,87,2025-09-15,Sunny,Hilly,277,317.0,8,0,0,0,0,0,0,0,0,0,0,40.0
R040393,50,Male,6,2,Beginner,10,227.0,24.1,4,15.0,1,3,86,14,0.0,80,48.46309478292448,23.6,5.9,5.2,0,None,6.0,6.0,58,14,83,77,58,67,75,20,2025-03-20,Windy,Mixed,258,299.0,7,0,0,0,0,0,0,0,0,0,0,41.0
R016401,27,Male,6,3,Beginner,4,250.0,18.6,3,15.0,1,3,64,11,0.0,80,49.58292037809094,22.3,10.0,7.8,1,Minor,6.0,7.0,52,36,41,0,56,17,43,53,2025-01-19,Sunny,Flat,264,300.0,8,0,0,0,0,0,1,0,0,0,0,36.0
R017611,22,Male,10,4,Beginner,2,311.0,16.8,3,15.0,1,3,68,10,0.0,74,64.32445621036582,25.9,7.1,6.9,0,None,9.0,6.0,55,32,32,0,69,5,32,39,2025-10-31,Hot,Mixed,302,343.0,6,0,0,0,0,0,0,0,0,0,0,41.0
R074339,47,Non-binary,62,2,Advanced,7,258.0,12.4,5,15.0,2,2,87,14,0.0,74,57.32358655011834,23.7,4.0,6.6,0,None,4.0,4.0,67,13,38,31,98,8,49,7,2024-03-04,Rainy,Flat,227,258.0,6,1,0,0,0,0,0,0,0,0,1,31.0
R081361,61,Male,13,2,Beginner,4,279.0,12.4,3,15.0,1,3,73,9,0.0,80,35.0,21.5,3.3,7.2,0,None,6.0,4.0,53,27,29,37,53,51,35,57,2025-01-14,Windy,Mixed,273,324.0,1,0,0,0,0,0,0,0,0,0,0,51.0
R098997,42,Male,9,1,Beginner,10,197.0,12.4,4,15.0,1,3,100,16,0.0,77,56.6323941308933,22.2,5.6,8.3,1,Minor,6.0,4.0,76,0,91,45,77,63,57,92,2024-12-03,Cloudy,Mixed,240,276.0,7,0,0,0,0,0,0,0,0,0,0,36.0
R035543,61,Male,38,2,Intermediate,8,261.0,19.0,4,15.0,2,3,93,15,0.1,73,57.612601309040286,27.0,3.9,8.6,0,None,5.0,6.0,93,7,52,53,79,54,62,75,2024-07-17,Sunny,Hilly,234,268.0,8,0,0,0,0,1,0,1,0,0,0,34.0
R003293,62,Female,7,1,Beginner,10,305.0,30.1,4,20.5,1,3,84,14,0.0,80,52.48700092279866,20.9,4.0,7.2,0,None,1.0,5.0,90,16,43,58,66,42,83,42,2024-07-12,Rainy,Flat,296,334.0,4,0,0,0,0,0,0,0,0,0,0,38.0
R065850,48,Male,98,4,Advanced,8,200.0,35.0,5,19.3,1,2,91,12,0.0,80,50.126001937879245,22.4,6.2,7.3,0,None,4.0,6.0,71,9,53,75,47,86,49,57,2025-05-15,Windy,Flat,191,220.0,3,1,0,0,0,0,0,0,0,0,1,29.0
R024705,29,Male,93,5,Advanced,3,233.0,17.0,4,15.0,1,3,82,12,6.7,68,68.43234950862546,21.7,8.3,6.4,0,None,2.0,7.0,54,18,0,0,69,7,100,16,2024-03-10,Rainy,Flat,220,246.0,7,2,0,0,0,0,0,0,0,0,1,26.0
R082592,33,Male,11,3,Beginner,2,302.0,24.6,4,15.0,0,3,78,14,2.0,80,46.781693344047,20.6,6.7,5.8,0,None,6.0,9.0,42,22,0,47,50,14,33,46,2025-04-16,Rainy,Mixed,286,327.0,7,0,0,0,0,0,0,0,0,0,0,41.0
R082249,45,Male,18,1,Beginner,8,268.0,24.5,4,15.0,1,3,88,15,0.6,80,43.62333200351426,25.6,4.0,6.1,2,Moderate,7.0,5.0,99,12,39,0,70,100,79,7,2025-10-17,Rainy,Flat,266,314.0,9,0,0,0,0,0,0,0,0,0,0,48.0
R092339,31,Male,25,1,Intermediate,8,254.0,27.7,5,15.0,1,2,91,12,1.6,73,53.55743104202453,19.8,7.1,8.2,0,None,7.0,4.0,103,9,37,29,71,65,65,100,2024-08-28,Hot,Hilly,244,283.0,3,0,0,0,1,0,0,0,0,0,0,39.0
R014381,41,Male,126,4,Advanced,4,219.0,18.0,5,15.0,2,2,99,13,2.0,80,48.79435663148289,25.5,6.3,7.3,2,Severe,5.0,8.0,71,13,29,53,84,9,26,50,2024-09-15,Sunny,Hilly,217,269.0,4,0,0,0,0,0,0,0,0,0,0,52.0
R015850,21,Female,36,1,Intermediate,2,205.0,12.4,4,16.0,2,3,77,11,2.7,80,51.07224253979831,22.1,10.0,7.4,0,None,1.0,6.0,54,23,0,25,52,0,81,0,2024-12-06,Windy,Mixed,207,248.0,8,0,0,0,0,0,0,1,0,0,0,41.0
R006337,42,Female,28,0,Intermediate,10,,18.1,5,15.0,1,2,84,12,0.0,80,45.28257096681291,25.9,4.2,7.0,1,Moderate,10.0,7.0,80,16,60,58,75,52,51,60,2025-08-27,Cloudy,Mixed,255,,8,0,1,1,0,0,0,0,1,0,0,
R066085,25,Female,10,0,Beginner,10,,17.0,4,15.0,1,3,88,16,0.0,80,53.55743104202453,24.7,10.0,7.1,0,None,6.0,6.0,53,12,69,64,97,85,70,46,2025-04-23,Rainy,Hilly,287,328.0,8,0,0,1,1,0,0,0,0,0,0,41.0
R042745,21,Female,57,1,Intermediate,3,256.0,12.7,6,15.0,1,1,60,9,0.1,71,57.1450359029916,21.3,1.780830398122056,5.602825954663408,1,Moderate,4.0,6.0,21,40,0,0,67,37,67,70,2024-07-04,Sunny,Hilly,250,304.0,5,0,0,0,0,1,0,1,0,0,0,54.0
R078380,34,Male,6,2,Beginner,7,227.0,15.0,5,17.5,1,2,69,9,2.4,80,47.091259466090186,27.1,6.9,6.3,0,None,6.0,7.0,66,31,23,49,44,39,43,65,2025-12-05,Sunny,Flat,237,272.0,3,0,0,0,0,0,1,0,0,0,0,35.0
R066100,63,Female,6,2,Beginner,6,273.0,20.5,4,15.0,1,3,94,14,0.1,72,53.14580672985078,24.1,5.1,7.8,1,Minor,8.0,5.0,49,6,50,33,65,46,37,62,2025-03-22,Hot,Hilly,260,313.0,2,0,0,0,0,1,0,0,0,0,0,53.0
R096122,64,Male,22,2,Beginner,3,247.0,12.4,4,15.0,0,3,72,13,0.1,80,53.55743104202453,26.3,5.5,7.0,0,None,2.0,5.0,75,28,9,9,84,54,62,0,2025-05-09,Sunny,Hilly,255,297.0,8,0,0,0,1,1,0,0,0,0,0,42.0
R006898,56,Male,49,3,Intermediate,10,253.0,34.1,6,21.1,1,1,82,10,0.0,78,53.47419449381564,26.4,4.4,6.8,0,None,7.0,8.0,30,18,31,53,58,100,56,36,2025-03-14,Rainy,Flat,240,270.0,3,1,0,0,0,0,0,0,0,0,1,30.0
R089735,49,Female,46,3,Intermediate,7,281.0,23.9,3,15.0,1,3,93,14,2.7,80,50.08131357269937,20.4,6.2,8.2,0,None,6.0,4.0,112,7,15,49,79,26,80,77,2024-05-26,Rainy,Hilly,267,305.0,7,0,0,0,0,0,1,0,0,0,0,38.0
R052046,29,Female,71,2,Advanced,6,244.0,20.1,5,15.0,2,2,73,12,9.2,78,57.67749647397028,18.0,10.0,6.7,0,None,6.0,8.0,37,27,79,43,75,24,32,72,2024-08-16,Sunny,Mixed,219,247.0,1,1,0,0,0,0,1,0,0,0,1,28.0
R026043,42,Male,53,1,Intermediate,5,225.0,12.4,3,15.0,1,3,58,8,0.0,80,47.71017384552662,27.7,4.2,7.8,0,None,6.0,4.0,37,42,5,68,55,47,51,54,2024-04-05,Windy,Mixed,217,262.0,5,0,0,0,0,0,1,0,0,0,0,45.0
R016276,20,Male,34,3,Intermediate,8,184.0,14.8,5,15.0,2,2,85,11,3.9,80,46.28325445396049,20.9,9.1,6.8,0,None,1.0,3.0,65,15,60,34,72,74,34,40,2024-08-09,Sunny,Flat,217,244.0,7,1,0,0,0,0,0,0,0,0,1,27.0
R017473,47,Female,6,2,Beginner,7,302.0,29.1,5,15.0,0,2,71,13,0.1,73,53.04593564335862,24.0,5.6,6.8,0,None,3.0,5.0,96,29,20,52,75,44,79,61,2025-11-23,Cloudy,Flat,288,317.0,10,1,0,0,0,0,0,0,0,0,1,29.0
R025376,52,Male,6,3,Beginner,9,204.0,12.4,3,15.0,0,3,76,10,0.0,80,45.43429720319807,24.6,4.9,6.4,0,None,9.0,3.0,112,24,37,41,65,84,86,37,2025-12-07,Rainy,Flat,248,285.0,6,0,0,0,0,0,0,0,0,0,0,37.0
R045600,64,Female,8,2,Beginner,1,289.0,13.0,4,15.0,0,3,85,15,3.6,80,40.5981649760133,19.9,3.5,7.7,1,Minor,5.0,7.0,55,15,0,0,66,0,58,78,2025-09-18,Cloudy,Hilly,271,323.0,6,0,0,0,0,0,0,0,0,0,0,52.0
R004557,37,Male,107,1,Advanced,2,240.0,12.4,4,15.0,1,3,57,8,1.6,70,56.97404153762271,26.1,9.7,6.1,1,Minor,6.0,1.0,48,43,44,0,32,12,20,42,2024-11-04,Sunny,Flat,228,261.0,4,1,0,0,0,0,0,0,0,0,1,33.0
R048393,38,Male,12,1,Beginner,7,286.0,12.4,4,15.0,1,3,89,13,1.8,73,52.679218056312514,23.7,6.2,8.0,0,None,7.0,7.0,67,11,62,40,80,41,56,72,2025-05-13,Sunny,Hilly,267,302.0,9,0,0,0,0,0,0,0,0,0,0,35.0
R075548,43,Male,6,1,Beginner,10,300.0,13.6,3,15.0,1,3,100,16,0.0,69,55.63506594820084,24.0,7.3,8.8,0,None,6.0,7.0,56,0,71,31,83,47,72,68,2025-12-14,Sunny,Mixed,280,309.0,8,1,0,0,0,0,0,0,0,0,1,29.0
R001535,62,Female,6,2,Beginner,6,282.0,12.4,5,15.0,1,2,90,14,3.9,78,56.10248375638572,23.3,1.9,5.9,0,None,5.0,4.0,75,10,28,7,73,48,62,60,2024-10-08,Cloudy,Flat,262,294.0,3,1,0,0,0,0,0,0,0,0,1,32.0
R018292,63,Female,9,2,Beginner,1,285.0,12.4,4,15.0,1,3,70,14,2.4,80,45.14600468308077,20.9,3.3,7.2,0,None,6.0,6.0,48,30,14,22,69,0,68,12,2024-02-15,Sunny,Mixed,260,301.0,7,0,0,0,0,0,0,0,0,0,0,41.0
R053373,39,Male,6,2,Beginner,5,255.0,12.4,5,15.0,1,2,77,11,0.0,72,57.31900753722864,22.9,6.7,8.6,1,Moderate,5.0,8.0,57,23,55,0,61,51,90,33,2024-05-26,Hot,Hilly,236,296.0,8,0,0,0,0,0,0,0,0,0,0,60.0
R009890,48,Female,11,0,Beginner,3,,13.6,3,17.5,0,3,80,11,0.9,80,53.55743104202453,23.8,3.6,6.6,1,Minor,4.0,5.0,71,20,40,12,54,0,87,72,2024-08-05,Cloudy,Flat,319,358.0,8,0,0,1,1,0,0,0,0,0,0,39.0
R044881,38,Female,12,2,Beginner,10,289.0,28.2,4,15.3,0,3,82,13,0.0,80,42.479425577440914,21.7,6.7,6.2,0,None,6.0,4.0,110,18,81,45,87,80,80,73,2024-06-10,Hot,Flat,270,305.0,8,0,0,0,0,0,1,0,0,0,0,35.0
R016663,51,Female,11,4,Beginner,8,217.0,16.7,4,15.0,1,3,68,10,0.0,69,53.55743104202453,18.5,6.3,6.7,0,None,7.0,2.0,58,32,31,45,54,17,84,21,2025-09-10,Sunny,Mixed,219,253.0,6,0,0,0,1,0,0,0,0,0,0,34.0
R030404,26,Female,34,1,Intermediate,2,229.0,12.4,4,15.0,2,3,88,13,0.1,79,53.55743104202453,19.6,10.0,8.4,0,None,7.0,6.0,72,12,24,0,62,46,29,54,2025-02-06,Sunny,Flat,236,260.0,10,2,0,0,1,1,0,1,0,0,1,24.0
R041404,61,Male,56,1,Intermediate,8,280.0,25.9,5,15.0,1,2,95,10,0.0,78,54.07843916779125,21.6,5.0,7.2,1,Minor,8.0,8.0,112,5,58,28,58,56,37,78,2025-06-22,Cold,Mixed,275,313.0,7,0,0,0,0,0,0,0,0,0,0,38.0
R003046,23,Male,6,3,Beginner,6,250.0,12.4,5,15.0,0,2,93,12,6.2,80,37.8217607634101,21.6,7.3,5.7,2,Severe,6.0,6.0,76,33,37,7,69,78,60,49,2025-01-28,Cold,Mixed,241,298.0,6,0,0,0,0,0,1,1,0,0,0,57.0
R092841,46,Female,7,0,Beginner,10,,21.3,5,15.0,1,2,93,14,4.6,72,53.236439714122,23.2,6.8,7.0,2,Moderate,6.0,6.0,89,7,44,70,64,45,38,53,2024-03-25,Sunny,Flat,283,325.0,4,0,0,1,0,0,0,1,1,0,0,42.0
R052159,47,Male,94,0,Advanced,9,,25.6,6,15.0,1,1,95,16,0.0,78,59.37966094270217,23.9,8.4,7.5,0,None,6.0,4.0,95,5,46,32,77,48,77,97,2024-07-21,Cloudy,Mixed,231,254.0,8,3,0,1,0,0,0,0,0,0,1,23.0
R072663,59,Female,16,1,Beginner,8,294.0,17.0,5,15.0,0,2,71,14,0.1,80,45.43232994357429,23.4,5.4,6.4,0,None,6.0,6.0,89,29,14,49,67,26,95,68,2024-07-08,Sunny,Hilly,264,307.0,5,0,0,0,0,1,1,0,0,0,0,43.0
R071746,40,Female,6,3,Beginner,5,320.0,12.4,3,15.0,0,3,92,16,1.1,77,53.55743104202453,22.5,7.9,6.3,0,None,6.0,6.0,68,8,31,59,73,5,100,24,2024-07-05,Cloudy,Mixed,281,314.0,7,1,0,0,1,0,0,0,0,0,1,33.0
R042895,64,Male,23,4,Beginner,10,224.0,17.6,3,16.0,1,3,84,14,1.2,80,53.55743104202453,24.9,2.9,8.0,1,Minor,4.0,5.0,61,16,56,20,73,82,44,18,2024-06-01,Hot,Mixed,234,287.0,7,0,0,0,1,0,0,0,0,0,0,53.0
R018072,43,Female,94,5,Advanced,8,191.0,18.4,4,15.4,2,3,88,13,3.3,69,60.033517098855725,21.9,4.4,7.3,1,Minor,5.0,5.0,99,12,51,48,82,73,62,28,2024-01-18,Rainy,Flat,195,227.0,8,1,0,0,0,0,0,0,0,0,1,32.0
R042553,53,Female,29,2,Intermediate,10,245.0,25.0,5,15.0,1,2,78,13,6.0,80,52.18316779891456,18.6,9.3,5.0,0,None,8.0,7.0,89,22,76,58,43,50,70,42,2024-05-04,Cloudy,Mixed,236,266.0,7,1,0,0,0,0,0,0,0,0,1,30.0
R088805,50,Male,19,4,Beginner,8,240.0,12.4,3,15.0,1,3,81,14,0.0,80,49.3427534184279,25.0,7.2,8.4,0,None,9.0,7.0,76,19,26,50,39,91,65,43,2024-02-11,Sunny,Mixed,243,275.0,8,1,0,0,0,0,0,0,0,0,1,32.0
R006849,61,Male,6,3,Beginner,6,308.0,18.6,3,15.0,0,3,71,9,0.1,80,35.0,28.0,4.3,5.2,0,None,4.0,6.0,55,29,33,36,60,1,38,84,2024-01-08,Sunny,Mixed,308,354.0,2,0,0,0,0,1,0,1,0,0,0,46.0
R076609,57,Male,39,1,Intermediate,8,252.0,12.4,6,15.0,1,1,88,13,10.0,80,49.83274010616952,25.2,4.4,8.2,0,None,3.0,2.0,68,12,52,49,87,29,41,35,2025-01-02,Cloudy,Hilly,238,277.0,5,0,0,0,0,0,0,0,0,0,0,39.0
R004435,52,Male,58,1,Intermediate,7,234.0,12.4,4,15.0,1,3,70,9,0.0,80,54.72763599577412,20.6,5.9,7.7,1,Moderate,9.0,8.0,55,30,24,28,53,36,33,47,2024-10-17,Hot,Mixed,241,295.0,7,0,0,0,0,0,0,0,0,0,0,54.0
R064577,52,Female,20,2,Beginner,5,302.0,12.4,5,15.0,1,2,78,11,6.6,80,42.13946639388431,23.2,7.1,8.3,0,None,6.0,3.0,93,22,6,0,62,23,100,12,2025-02-25,Cloudy,Mixed,280,318.0,5,0,0,0,0,0,0,0,0,0,0,38.0
R081039,19,Male,6,2,Beginner,2,264.0,12.4,3,15.0,1,3,82,10,0.1,79,50.19074898193048,22.8,10.0,7.0,0,None,9.0,2.0,68,18,12,13,79,0,2,19,2025-08-20,Cloudy,Flat,232,260.0,5,1,0,0,0,1,0,0,0,0,1,28.0
R016186,49,Female,14,4,Beginner,2,320.0,14.5,5,15.0,0,2,84,14,0.0,69,53.55743104202453,18.6,2.7,7.3,1,Minor,10.0,5.0,89,16,0,5,53,0,36,33,2024-06-20,Sunny,Flat,286,320.0,6,0,0,0,1,0,0,0,0,0,0,34.0
R068309,46,Male,88,1,Advanced,5,198.0,15.6,6,15.0,2,1,79,13,0.1,80,44.45543397315606,27.3,7.5,7.7,1,Severe,4.0,6.0,54,21,18,29,49,0,67,55,2024-05-05,Cloudy,Hilly,218,278.0,5,0,0,0,0,1,0,0,0,0,0,60.0
R048693,45,Female,41,1,Intermediate,3,262.0,12.4,6,15.0,1,1,84,12,0.0,73,63.5552910806388,19.2,4.0,8.4,0,None,7.0,7.0,82,16,5,53,70,12,75,43,2024-12-17,Cloudy,Mixed,253,282.0,9,1,0,0,0,0,0,0,0,0,1,29.0
R097676,27,Male,12,2,Beginner,5,284.0,13.0,4,15.0,1,3,91,10,0.0,77,53.53429246722343,25.2,8.7,7.0,1,Minor,1.0,3.0,64,9,28,9,79,16,37,64,2025-08-24,Rainy,Flat,268,311.0,1,0,0,0,0,0,0,0,1,0,0,43.0
R060833,52,Female,48,2,Intermediate,6,286.0,12.9,5,15.0,1,2,94,16,0.1,76,48.0323303896343,21.6,8.7,6.8,1,Minor,3.0,7.0,66,6,50,4,71,51,77,34,2024-01-10,Cloudy,Flat,282,314.0,4,1,0,0,0,0,0,0,0,0,1,32.0
R031722,35,Non-binary,113,1,Advanced,4,206.0,21.9,5,15.0,1,2,80,14,0.0,78,47.86609218342095,24.2,8.7,9.6,1,Moderate,2.0,8.0,76,20,25,0,87,13,61,54,2024-07-19,Hot,Mixed,219,273.0,5,0,0,0,0,0,0,0,0,0,0,54.0
R001749,34,Male,53,2,Intermediate,6,285.0,18.1,5,20.6,0,2,73,13,0.0,77,51.146344414512335,25.0,7.6,8.1,2,Minor,4.0,5.0,35,27,45,29,73,38,41,32,2025-08-23,Cloudy,Hilly,246,287.0,4,0,0,0,0,0,0,0,0,0,0,41.0
R000862,35,Male,9,1,Beginner,7,258.0,27.8,3,19.0,1,3,72,12,0.1,79,47.67747948041532,23.7,7.6,7.4,1,Minor,1.0,6.0,35,28,45,12,58,22,65,64,2025-06-03,Cold,Hilly,263,315.0,8,0,0,0,0,1,0,0,0,0,0,52.0
